type;latency;rank;duration;sac_amplitude;sac_angle;iEvent;CorScorePair;CorScoreEvent;CorScoreDetail;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;SumCorConfPair;SumCorConfEvent;SumCorConfDetail;PairNCat;eCorScorePair;eCorScoreEvent;eCorScoreDetail;eNrmzMeanConfPair;eNrmzMeanConfEvent;eNrmzMeanConfDetail;eSumCorConfPair;eSumCorConfEvent;eSumCorConfDetail;iBlock;iEventPerBlock;Refi;Refi2;NrmzMeanConfPair2bins;NrmzMeanConfEvent2bins;NrmzMeanConfDetail2bins;eNrmzMeanConfPair2bins;eNrmzMeanConfEvent2bins;eNrmzMeanConfDetail2bins;NrmzMeanConfPair_CorRefi;NrmzMeanConfEvent_CorRefi;NrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_CorRefi;eNrmzMeanConfEvent_CorRefi;eNrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_EventOnset2bins;eNrmzMeanConfEvent_EventOnset2bins;eNrmzMeanConfDetail_EventOnset2bins;eCorScorePair_EventOnset2bins;eCorScoreEvent_EventOnset2bins;eCorScoreDetail_EventOnset2bins;eSumCorConfPair_EventOnset2bins;eSumCorConfEvent_EventOnset2bins;eSumCorConfDetail_EventOnset2bins
saccade;482631;0;21;9.314.249;-98.734.116;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;482652;15;57;9.314.249;-98.734.116;29;1;1;0;0.678220858681537;0.227934207941277;0.178913019733776;140.405.634.510.391;127.118.326.413.197;233.761.980.461.794;p2O;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;bpF;bp;Cor2;Cor2;Cor1;Cor1;Cor1;Cor1;Cor2bpF;Cor2bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;[];[];[];[];[];[];[];[];[]
saccade;482709;0;9;1.315.185;-148.781.313;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;482718;16;153;1.315.185;-148.781.313;29;1;1;0;0.678220858681537;0.227934207941277;0.178913019733776;140.405.634.510.391;127.118.326.413.197;233.761.980.461.794;p2O;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;weR;we;Cor2;Cor2;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;482871;0;9;0.657394;-25.803.359;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;482880;17;46;0.657394;-25.803.359;29;1;1;0;0.678220858681537;0.227934207941277;0.178913019733776;140.405.634.510.391;127.118.326.413.197;233.761.980.461.794;p2O;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;weR;we;Cor2;Cor2;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;482926;0;10;1.660.816;-0.520996;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;482936;18;75;1.660.816;-0.520996;29;1;1;1;0.438848790911583;0.227934207941277;0.254733950033539;126.813.382.107.967;127.118.326.413.197;326.965.854.260.582;p2P;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;beF;be;Cor1;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1beF;Cor2beF;Cor1beF;Cor1beF;Cor1beF;Cor1beF;[];[];[];[];[];[];[];[];[]
saccade;483011;0;8;0.826771;-6.626.374;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;483019;19;101;0.826771;-6.626.374;29;1;1;1;0.438848790911583;0.227934207941277;0.254733950033539;126.813.382.107.967;127.118.326.413.197;326.965.854.260.582;p2P;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;weR;we;Cor1;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1weR;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;483120;0;12;3.331.354;17.846.283;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;483132;20;49;3.331.354;17.846.283;29;1;1;0;0.678220858681537;0.227934207941277;0.178913019733776;140.405.634.510.391;127.118.326.413.197;233.761.980.461.794;p2O;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;beR;be;Cor2;Cor2;Cor1;Cor1;Cor1;Cor1;Cor2beR;Cor2beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;[];[];[];[];[];[];[];[];[]
saccade;483181;0;6;0.560998;-17.248.681;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
