;participant;rank;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;Refi
8807;8;21;0.893634347803949;0.893491623974733;0.893491623974733;bpR
8820;8;4;0.900940383920732;0.866014170189747;0.866014170189747;bpR
8825;8;9;0.867019446760219;0.817691712554861;0.817691712554861;bpR
8833;8;17;0.900940383920732;0.779317990815977;0.779317990815977;bpR
8836;8;20;0.867019446760219;0.0;0.0;bpR
8839;8;23;0.550771832163862;0.78926672671198;0.78926672671198;bpR
8840;8;24;0.900940383920732;0.779317990815977;0.779317990815977;bpR
8844;8;28;0.550771832163862;0.78926672671198;0.78926672671198;bpR
8852;8;9;0.0;0.580816935998557;0.42593569856913;bpR
8858;8;15;0.632182102765109;0.328782172583776;0.359638237055751;bpR
8864;8;22;0.632182102765109;0.328782172583776;0.359638237055751;bpR
8865;8;24;0.394213602833788;0.458589552911829;0.442001603428515;bpR
8867;8;26;0.0;0.580816935998557;0.42593569856913;bpR
8879;8;11;0.500673194411051;0.735259290206529;0.735259290206529;bpR
8883;8;15;0.770997068232045;0.0;0.861800842335285;bpR
8897;8;7;0.6332258333083;0.441060833116803;0.537143333212551;bpR
8901;8;11;0.673930971758337;0.859381659261288;0.880421961050538;bpR
8903;8;13;0.836751527658098;0.821955454331956;0.829353490995027;bpR
8913;8;23;0.6332258333083;0.565656945327994;0.599441389318147;bpR
8922;8;8;0.714114252285413;0.82148169592718;0.836313043722364;bpR
8925;8;11;0.8435357016527;0.875489155305145;0.854186852870182;bpR
8930;8;17;0.86441015294619;0.794951736079231;0.828898151329439;bpR
8935;8;22;0.714114252285413;0.82148169592718;0.836313043722364;bpR
8938;8;25;0.86441015294619;0.794951736079231;0.828898151329439;bpR
8947;8;10;0.453183870418559;0.850854175707098;0.585740638848072;bpR
8951;8;14;0.41717547322147;0.576079439628772;0.576079439628772;bpR
8954;8;17;0.453183870418559;0.850854175707098;0.585740638848072;bpR
8956;8;19;0.41717547322147;0.576079439628772;0.576079439628772;bpR
8957;8;20;0.453183870418559;0.850854175707098;0.585740638848072;bpR
8969;8;9;0.755863108680985;0.356259656865449;0.542753936450571;bpR
8972;8;12;0.815877093161484;0.356259656865449;0.557366033879451;bpR
8974;8;14;0.427090836746034;0.739996782764228;0.739996782764228;bpR
8977;8;17;0.755863108680985;0.356259656865449;0.542753936450571;bpR
8980;8;20;0.427090836746034;0.739996782764228;0.739996782764228;bpR
8985;8;25;0.815877093161484;0.356259656865449;0.557366033879451;bpR
8990;8;30;0.427090836746034;0.89538662709715;0.89538662709715;bpR
8991;8;31;0.815877093161484;0.356259656865449;0.557366033879451;bpR
8992;8;32;0.755863108680985;0.356259656865449;0.542753936450571;bpR
8994;8;34;0.427090836746034;0.739996782764228;0.739996782764228;bpR
9001;8;8;0.597217443459844;0.66040685747535;0.584200431333162;bpR
9002;8;9;0.708895643661259;0.871699149060312;0.761592212426847;bpR
9006;8;13;0.597217443459844;0.66040685747535;0.584200431333162;bpR
9008;8;15;0.708895643661259;0.860329160822496;0.754012220268303;bpR
9009;8;16;0.797611960877337;0.672724347274373;0.729139603278301;bpR
9013;8;20;0.708895643661259;0.860329160822496;0.754012220268303;bpR
9014;8;21;0.597217443459844;0.860329160822496;0.717481966897927;bpR
9015;8;22;0.797611960877337;0.672724347274373;0.729139603278301;bpR
9022;8;8;0.828923612622258;0.842800427685169;0.823040860313659;bpR
9023;8;9;0.719332860909566;0.46285329850101;0.591093079705288;bpR
9025;8;11;0.828923612622258;0.842800427685169;0.823040860313659;bpR
9036;8;22;0.828923612622258;0.769369247295803;0.774086740054081;bpR
9037;8;23;0.719332860909566;0.46285329850101;0.591093079705288;bpR
9040;8;26;0.828923612622258;0.842800427685169;0.823040860313659;bpR
9053;8;13;0.888415743379014;0.878331629492084;0.878416013071705;bpR
9061;8;21;0.834664079169374;0.937076573803577;0.899112097894099;bpR
9075;8;13;0.81483337731556;0.912441609453873;0.863637493384716;bpR
9076;8;14;0.917118092911468;0.912441609453873;0.914779851182671;bpR
9087;8;25;0.917118092911468;0.811059216874745;0.864088654893106;bpR
9088;8;26;0.91294319593402;0.805374222755837;0.859158709344929;bpR
9091;8;29;0.917118092911468;0.811059216874745;0.864088654893106;bpR
9103;8;11;0.937992510611207;0.894912876316546;0.92353695216063;bpR
9106;8;14;0.834664079169374;0.933286582807087;0.946684066584145;bpR
9108;8;16;0.937992510611207;0.933286582807087;0.949119423154323;bpR
9110;8;18;0.834664079169374;0.933286582807087;0.946684066584145;bpR
9117;8;25;0.833098492802831;0.914810363356895;0.873954428079863;bpR
9134;8;12;0.968782291835509;0.932339096494222;0.95663456005508;bpR
9135;8;13;0.993309744390515;0.866961656502612;0.930135700446564;bpR
9136;8;14;0.968782291835509;0.932339096494222;0.95663456005508;bpR
9137;8;15;0.993309744390515;0.874067902963333;0.933688823676924;bpR
9138;8;16;0.968782291835509;0.874067902963333;0.921425097399421;bpR
9140;8;18;0.993309744390515;0.866961656502612;0.930135700446564;bpR
9153;8;12;0.837273389780279;0.467117044566701;0.65219521717349;bpR
9157;8;16;0.586780226211537;0.870277896718499;0.669840936762399;bpR
9161;8;20;0.837273389780279;0.467117044566701;0.65219521717349;bpR
9165;8;24;0.586780226211537;0.870277896718499;0.669840936762399;bpR
9181;8;15;0.979741379604435;0.623928138858883;0.658062118301269;bpR
9184;8;18;0.806483608555977;0.818165463335465;0.812324535945721;bpR
9187;8;21;0.633225837507518;0.557603204930237;0.563320083114416;bpR
9200;8;11;0.850841754566359;0.759894254556233;0.827025223842744;bpR
9204;8;15;0.932252044064091;0.899176633341984;0.915714338703038;bpR
9212;8;23;0.850841754566359;0.759894254556233;0.827025223842744;bpR
9214;8;25;0.850841754566359;0.614926904524089;0.708003334059144;bpR
9230;8;14;0.92077111096986;0.935181601177847;0.925574607705856;bpR
9235;8;19;0.0;0.940866580048411;0.800092720890106;bpR
9237;8;21;0.927033439639156;0.94560407260611;0.936318756122633;bpR
9241;8;25;0.92077111096986;0.935181601177847;0.925574607705856;bpR
9243;8;27;0.895199934170492;0.940866580048411;0.918033257109452;bpR
9248;8;3;0.941123683344293;0.888754146665378;0.921201243674132;bpR
9255;8;10;0.861800842335285;0.81295421237299;0.834802940465769;bpR
9258;8;13;0.872238051185154;0.888754146665378;0.596982333674365;bpR
9263;8;18;0.886850157012471;0.0;0.0;bpR
9265;8;20;0.861800842335285;0.81295421237299;0.834802940465769;bpR
9266;8;21;0.941123683344293;0.888754146665378;0.921201243674132;bpR
9268;8;23;0.861800842335285;0.81295421237299;0.834802940465769;bpR
9271;8;26;0.872238051185154;0.888754146665378;0.596982333674365;bpR
9274;8;29;0.872238051185154;0.81295421237299;0.632025319775924;bpR
9285;8;9;0.96095437679967;0.859855410041892;0.910404893420781;bpR
9286;8;10;0.906159005142542;0.918600354353385;0.905581609867486;bpR
9292;8;16;0.912421333811839;0.403634605314955;0.658027969563397;bpR
9294;8;18;0.96095437679967;0.859855410041892;0.910404893420781;bpR
9296;8;20;0.906159005142542;0.918600354353385;0.905581609867486;bpR
9297;8;21;0.96095437679967;0.403634605314955;0.682294491057312;bpR
9315;8;12;0.892590623559587;0.68030433307944;0.68030433307944;bpR
9317;8;14;0.999572073059812;0.542916976476535;0.46586452101362;bpR
9319;8;16;0.741251013351714;0.851801662019963;0.739281634744384;bpR
9321;8;18;0.892590623559587;0.68030433307944;0.68030433307944;bpR
9324;8;21;0.741251013351714;0.851801662019963;0.739281634744384;bpR
9329;8;5;0.922858542661708;0.585080677775652;0.705501208841219;bpR
9331;8;7;0.803352419026015;0.821481688303008;0.713785381322308;bpR
9333;8;9;0.803352419026015;0.585080677775652;0.592083476630971;bpR
9334;8;10;0.803352419026015;0.821481688303008;0.713785381322308;bpR
9338;8;14;0.803352419026015;0.585080677775652;0.592083476630971;bpR
9343;8;19;0.877456655610089;0.550023207688912;0.651861637415646;bpR
9348;8;24;0.803352419026015;0.821481688303008;0.713785381322308;bpR
9350;8;26;0.803352419026015;0.585080677775652;0.592083476630971;bpR
9370;8;16;0.925467853272613;0.896334128658359;0.612918500254838;bpR
9376;8;22;0.868585016329887;0.959816550279208;0.908199385696341;bpR
9379;8;25;0.880587811546299;0.653300607202544;0.571461066273944;bpR
